Aspect of Care	Recommendation	Sources	AUA2020	DGU2020	EAU-ASCO2025	ESMO2024	NCCN2025
**Primary Treatment (Topical Therapy)**	**Topical therapy with 5-fluorouracil (5-FU) or imiquimod can be offered to patients with biopsy-confirmed superficial disease (PeIN/Tis, Ta).** Patients should be informed about limited efficacy and potential off-label use.	AUA2020; DGU2020; EAU-ASCO2025; ESMO2024; NCCN2025	"R (Recommended)
The AUA guideline recommends topical therapy for early-stage penile cancer, aligning with the treatment recommendation. The guideline states, ""Topical treatments... are often used as first line treatment options for non-invasive and early stage penile malignancies (carcinoma in situ, Ta and T1)."" It explicitly names fluorouracil (5-FU) and imiquimod as the most common topical agents for these indications. Furthermore, the treatment algorithm in Figure 4 lists ""Topical treatment"" as a primary option for early/low-stage disease."	"R (Recommended)
The guideline aligns with the treatment recommendation. Recommendation 7.6 on page 47 explicitly states that topical therapy with 5-fluorouracil or imiquimod can be used for the treatment of penile intraepithelial neoplasia (PeIN) or precancerous lesions. Furthermore, recommendation 7.7 mirrors the proposed recommendation's caveat, emphasizing that patients should be informed about the limited efficacy and the ""off-label"" use of these therapies."	"R (Recommended)
The guideline supports the use of topical therapy for superficial, non-invasive penile cancer. Section 6.1.1.1 describes topical therapy with imiquimod (IQ) or 5-fluorouracil (5-FU) as ""effective non-invasive first-line treatment options"" for PeIN and Ta disease. Furthermore, the recommendations table on page 24 explicitly states to ""Offer topical therapy with 5-fluorouracil or imiquimod to patients with biopsy-confirmed penile intra-epithelial neoplasia (PeIN),"" directly aligning with the proposed treatment."	"R (Recommended)
The guideline supports the recommendation, stating that for biopsy-proven premalignant disease (PeIN), ""any residual PeIN can be treated using topical agents, such as 5-fluorouracil (5-FU) or imiquimod"" after an initial circumcision. The management algorithm for Tis or Ta disease also includes ""Topical ChT or immunotherapy"" as a valid treatment option. This aligns directly with offering topical 5-FU or imiquimod for superficial penile cancer."	"R (Recommended)
The NCCN guideline aligns with the treatment recommendation. The primary treatment algorithm (PN-1) lists ""Topical therapy"" as a first-line option for patients with Penile intraepithelial neoplasia (PeIN) or Ta disease. Furthermore, the ""Principles of Penile Organ-Sparing Approaches"" section (PN-A) and the discussion section (MS-8) specify that for patients with PeIN or Ta disease, treatment can include ""Imiquimod 5%"" or ""5-FU cream 5%,"" directly matching the drugs and indications in the recommendation."
**Primary Treatment (Topical Therapy)**	**If topical treatment fails, it should not be repeated.**	DGU2020; EAU-ASCO2025	"**Stance:** DR (Different Recommendation)

**Justification:** The guideline presents a different approach than the recommendation. While the recommendation states that topical treatment should not be repeated if it fails, the guideline discusses a study by Alnajjar et al. where the first-line therapy was 5-fluorouracil (5-FU) and the ""second line topical agent was IQ"" (imiquimod). This indicates that using a different topical agent after the failure of the first is a viable strategy, which directly contradicts the recommendation's absolute stance against repeating topical treatment."	"R (Recommended)
The guideline aligns with the treatment recommendation. On page 48, in the background information for topical chemotherapy, the guideline states, ""Bei Tumorpersistenz oder Rezidiv nach topischer Anwendung ist eine Wiederholung mit diesen Verfahren nicht angeraten."" This translates to, ""In case of tumor persistence or recurrence after topical application, a repetition with these methods is not advisable."" This directly supports the recommendation that failed topical treatment should not be repeated."	"**R (Recommended)**

**Justification:**
The guideline directly supports the recommendation. In Section 6.1.1.1, ""Topical therapies,"" the guideline discusses the use of agents like imiquimod and 5-fluorouracil. It explicitly states, ""Insufficient responses and recurrences may signify underlying invasive disease; hence, if topical treatment fails, it should not be repeated."" This statement is also formalized in a recommendations table on page 25, confirming the guideline's alignment with the provided treatment recommendation."	"R (Recommended)

The guideline supports the recommendation. For premalignant disease (PeIN), it states that after initial treatment with topical agents, the response should be assessed. The guideline then explicitly states, ""If topical treatment fails, wide local excision or glans resurfacing... should be considered."" This aligns with the recommendation, as it advises escalating to a different, surgical treatment modality rather than repeating the failed topical therapy."	"DR (Different Recommendation)
The recommendation states that if topical treatment fails, it should not be repeated. The NCCN guidelines suggest a different approach. The algorithm for managing recurrent disease (PN-9) directs clinicians to treat according to the recurrence stage, which refers back to the initial treatment options on PN-1. For a recurrent PeIN or Ta lesion, topical therapy is again listed as a valid option. The discussion (MS-5) also mentions a study where imiquimod was used as a ""second-line topical agent"" after 5-fluorouracil, indicating that repeating treatment with a different topical agent is a considered strategy."
**Primary Treatment (Topical Therapy)**	Example regimens for topical therapy include: <br> • **Imiquimod 5% cream:** Apply at night three times per week for 4–16 weeks. <br> • **5-FU cream 5%:** Apply twice daily for 2–6 weeks.	NCCN2025	"**Stance:** R (Recommended)

**Justification:** The guideline strongly supports the use of topical therapy for early-stage penile cancer. It explicitly identifies 5-fluorouracil (5-FU) and imiquimod as the ""most common chemotherapeutic compounds"" for this purpose. The document discusses the efficacy of both agents for carcinoma in situ and mentions the use of 5% imiquimod, aligning directly with the agents and concentrations in the recommendation."	"**Stance:** R (Recommended)

**Justification:** The guideline explicitly supports the use of topical therapy with 5-Fluorouracil or Imiquimod for penile intraepithelial neoplasia or precancerous lesions (Recommendation 7.6). The background text on pages 47-48 discusses various application regimens from the literature for both 5% Imiquimod cream and 5-FU. Although the guideline notes that no definitive standards for application exist, the example regimens in the treatment recommendation are consistent with the schedules described in the cited literature."	"**R (Recommended)**

The guideline recommends topical therapy with imiquimod or 5-fluorouracil (5-FU) as effective first-line treatment options for superficial non-invasive disease (PeIN). Section 6.1.1.1, ""Topical therapies,"" specifically discusses both agents. The guideline's description of a common imiquimod regimen (""three times per week for twelve weeks"") aligns with the recommended range of 4–16 weeks. While it describes a different 5-FU schedule than the one recommended, it explicitly states that ""no standard protocol exists"" and ""There is no consensus or comparative data on the optimal treatment schedules for these therapies,"" indicating that various regimens are in use."	"*   **Stance:** R (Recommended)
*   **Justification:** The guideline recommends the use of topical agents for treating residual premalignant disease (PeIN) following circumcision. It specifically names the two agents from the treatment recommendation, stating that ""any residual PeIN can be treated using topical agents, such as 5-fluorouracil (5-FU) or imiquimod."" This directly aligns with and supports the proposed treatment approach."	"R (Recommended)
The guideline recommends the exact topical therapy regimens mentioned in the treatment recommendation. On page PN-A, under ""Principles of Penile Organ-Sparing Approaches,"" the guideline states, ""For patients with PeIN or Ta disease: ► Imiquimod 5%: apply at night three times per week for 4–16 weeks. ► 5-FU cream 5%: apply twice daily for 2–6 weeks."" This aligns perfectly with the proposed treatment, confirming its recommended status."
**Primary Treatment (Topical Therapy)**	Topical therapy is ineffective for more advanced stages of penile cancer.	AUA2020	"R (Recommended)
The guideline directly supports the recommendation. It explicitly states that ""topical treatment is ineffective for more advanced stages of penile cancer"" and should be reserved for early-stage disease. The text further reinforces this by identifying topical treatments as first-line options for ""non-invasive and early stage penile malignancies (carcinoma in situ, Ta and T1)."""	"R (Recommended)
The guideline supports the recommendation by limiting the use of topical therapy to early-stage disease. Section 7.1.1.1 specifies that topical chemotherapy can be applied for superficial, non-invasive tumors and precancerous lesions (PeIN, CIS). In contrast, for advanced stages such as T3 (Section 7.1.4) and T4 (Section 7.1.5), the guideline recommends more aggressive treatments like partial or radical penectomy and radiotherapy, omitting topical therapy as a viable option."	"**Stance:** R (Recommended)

**Justification:** The guideline supports the recommendation by exclusively positioning topical therapies, such as imiquimod (IQ) or 5-fluorouracil (5-FU), as treatment options for ""superficial non-invasive disease (PeIN, Ta)"" (page 19, section 6.1.1.1). For more advanced stages, including invasive disease confined to the glans (cT1/T2) and locally advanced disease (T3–T4), the guideline recommends surgical, radiotherapeutic, and chemotherapeutic approaches, making no mention of topical agents (pages 20, 23). This omission for advanced stages implicitly confirms that topical therapy is not considered an effective treatment in those settings."	"R (Recommended)
The guideline aligns with the recommendation by limiting the use of topical therapy to the earliest stages of penile cancer. It explicitly recommends topical agents such as 5-fluorouracil (5-FU) and imiquimod for premalignant disease (PeIN) and Tis/Ta lesions. For more advanced stages (T1b-T4 and node-positive disease), the guideline recommends surgery, radiotherapy, and systemic chemotherapy, implicitly agreeing that topical therapy is not an effective option for advanced disease."	"R (Recommended)
The guideline recommends topical therapy as a primary treatment option for early, non-invasive stages of penile cancer, specifically Penile Intraepithelial Neoplasia (PeIN) and Ta disease (PN-1). For more advanced stages (T1, T2, and greater), the guideline does not list topical therapy as a viable treatment, instead recommending more invasive approaches such as wide local excision, penectomy, or radiation therapy (PN-2). This approach directly supports the recommendation that topical therapy is not effective for more advanced stages of penile cancer."
**Primary Treatment (Laser Therapy)**	**Laser ablation (e.g., CO₂ or Nd:YAG laser) can be used for biopsy-confirmed superficial or early-stage tumors (PeIN/Tis, Ta, T1).**	AUA2020; DGU2020; EAU-ASCO2025; ESMO2024; NCCN2025	"**R (Recommended)**

The guideline recommends laser ablation for early-stage penile cancer, aligning with the treatment recommendation. On page 74, under ""TOPICAL THERAPIES,"" the guideline states that ""laser and photodynamic therapy are often used as first line treatment options for non-invasive and early stage penile malignancies (carcinoma in situ, Ta and T1)."" The ""LASER THERAPY"" section on page 75 specifically discusses the use of CO₂ and YAG lasers for these conditions, which are the same laser types mentioned in the recommendation."	"R (Recommended)
The guideline recommends laser therapy for early-stage penile cancer, aligning with the treatment recommendation. Specifically, Recommendation 7.8 in section 7.1.1.2 states that laser systems can be used for the ablation of superficial penile carcinomas. It further specifies that the CO₂ laser is suitable for penile intraepithelial neoplasia (PeIN) and precancerous lesions, while the Nd:YAG laser can be used for Ta/T1 tumors, which directly corresponds to the methods and indications mentioned in the treatment recommendation."	"**R (Recommended)**

The guideline supports the use of laser ablation for superficial and early-stage penile cancer. On page 25, in the recommendations table under ""Laser ablation,"" the guideline explicitly states: ""Offer laser ablation using CO₂ or Nd:YAG laser to patients with biopsy-confirmed PeIN, Ta or T1 lesions."" This aligns directly with the treatment, laser types, and tumor stages mentioned in the recommendation. While the guideline assigns a ""Weak"" strength rating to this recommendation and discusses high recurrence rates (page 21), it is still presented as a valid treatment option to be offered to patients."	"R (Recommended)
The guideline recommends the use of laser ablation for treating premalignant and early-stage penile cancer, aligning with the proposed treatment. Specifically, for premalignant disease (PeIN), the guideline states that “carbon dioxide (CO₂) laser ablation…can be used.” Furthermore, the guideline’s treatment algorithm (Figure 2) explicitly lists “Laser therapy” as a management option for tumors staged as Tis, Ta, and T1."	"**R (Recommended)**

**Justification:** The NCCN guideline supports the use of laser therapy for early-stage penile cancer. In the treatment algorithm for ""Penile intraepithelial neoplasia (PeIN) or Ta"" (PN-1) and for ""pT1a"" tumors (PN-2), ""Laser therapy (category 2B)"" is listed as a primary treatment option. Furthermore, the ""Principles of Penile Organ-Sparing Approaches"" section (PN-A) explicitly states that therapeutic lasers, including CO₂ and Nd:YAG, can be used to treat selected cases of PeIN, Ta, and T1 tumors."
**Primary Treatment (Laser Therapy)**	A surgical margin of 5 mm is considered oncologically safe for laser therapy.	AUA2020	"**R (Recommended)**

**Justification:**
The guideline directly supports the recommendation for a 5 mm margin with laser therapy. The ""LASER THERAPY"" section states, ""According to current guidelines a margin of 5 mm is considered oncologically safe."" The appendix on laser modalities further details the CO2 laser technique, specifying an ""Incision depth shall be... 5 mm from visible tumor border."""	"R (Recommended)
The guideline recommends a surgical margin of ""at least one to a few millimeters"" for organ-preserving operative therapies (Recommendation 7.17). The background text further elaborates that a margin of a few millimeters is considered oncologically safe, moving away from older recommendations of 2 cm. Crucially, it cites a systematic review by Kamel et al. [174] which concluded that a 5 mm resection margin is sufficient for organ-preserving surgery, directly aligning with the proposed recommendation."	"**Stance:** DR (Different Recommendation)

**Justification:** The guideline does not explicitly state that a 5 mm surgical margin is oncologically safe for laser therapy. In Section 6.1.2.3, it vaguely mentions resecting the tumor with ""ample millimetres of margin"" but offers no specific measurement. Furthermore, this section cautions that laser therapy may result in higher local recurrence rates when compared to surgical excision. While the guideline does mention that a 5-10 mm margin for surgical excision results in low recurrence rates (Section 6.1.2.1), it does not apply this standard to laser therapy and emphasizes the overall lack of clear evidence for what constitutes an oncologically safe margin."	"NA
The guideline recommends carbon dioxide (CO2) laser ablation as a treatment option for premalignant disease (PeIN) and Tis/Ta tumors. However, it does not specify what constitutes a safe surgical margin for this procedure. While surgical margins are discussed for other techniques like glansectomy, there is no mention of a 5 mm margin or any other specific margin size in the context of laser therapy."	"NA (Not Addressed)

The NCCN guideline discusses laser therapy as an organ-sparing approach for early-stage penile cancer and mentions the importance of achieving ""adequate lateral margins"" to prevent recurrence. However, it does not specify a particular margin size, such as 5 mm, that is considered oncologically safe for laser therapy. While the guideline does provide margin size recommendations (5 to 10 mm) for wide local excision, it does not address a specific numerical margin for laser therapy itself."
**Primary Treatment (Post-Therapy Biopsy)**	**After topical or laser therapy, a control biopsy should be performed to verify local tumor control,** especially in cases of clinical doubt.	DGU2020; EAU-ASCO2025; ESMO2024	"NA (Not Addressed)
The guideline extensively discusses the need for close monitoring and follow-up after topical and laser therapies due to the high risk of local recurrence. For instance, it states that after laser therapy, ""close follow-up especially during the first 6 months is recommended."" However, the document does not specify the methods for this surveillance and never mentions or discusses the use of a ""control biopsy"" to verify tumor control after these treatments."	"**R (Recommended)**

The guideline directly aligns with the treatment recommendation. Recommendation 7.9 on page 49 explicitly states, ""Nach topischer medikamentöser Therapie oder Lasertherapie soll postinterventionell eine Kontrollbiopsie zur Verifikation der lokalen Tumorkontrolle und eine regelmäßige langfristige Nachsorge erfolgen"" (After topical medicinal therapy or laser therapy, a control biopsy should be performed to verify local tumor control and regular long-term follow-up should be carried out). This recommendation, which has 100% consensus, mirrors the proposed treatment approach for the same purpose of verifying local tumor control. The background information on page 46 further supports this, noting that therapies preserving the epithelium require a control biopsy to confirm tumor control."	"**R (Recommended)**

**Justification:**
The guideline aligns with the recommendation. In the section on topical therapies for superficial non-invasive disease (PeIN), it states, ""It is advised that treatment effects must be clinically assessed and in cases of doubt evaluated by biopsy"" (page 19). This is reinforced in the recommendations table on page 25. Furthermore, the follow-up regimen table suggests an optional ""Repeat biopsy after topical or laser treatment for PeIN"" (page 38), which supports the recommendation's call for a control biopsy, especially in cases of clinical doubt."	"R (Recommended)
The guideline supports the recommendation. In the section on ""Premalignant disease (PeIN),"" it states that ""Following topical treatment, the response should be assessed clinically or with a repeat biopsy of any new lesions which may indicate progression to invasive disease."" This aligns with the recommendation to perform a control biopsy to verify tumor control, particularly when there is clinical uncertainty."	"DR (Different Recommendation)
The NCCN guideline outlines a specific surveillance schedule after topical or local therapy which consists of regular clinical examinations of the penis and inguinal region (PN-8). While it suggests imaging for abnormal clinical findings, it does not mention or recommend performing a control biopsy to verify local tumor control. The guideline's specified follow-up protocol (clinical examination) differs from the recommendation's proposed method (control biopsy)."
**Primary Treatment (Surgical)**	**Organ-sparing surgery options (circumcision, wide local excision, glansectomy, Mohs) are offered for lesions confined to the glans and prepuce (PeIN, Ta, T1-T2)** in patients willing to comply with strict follow-up.	EAU-ASCO2025; NCCN2025	"R (Recommended)
The guideline strongly recommends organ-preserving surgical techniques for early-stage penile cancer, which aligns with the treatment recommendation. The ""SURGERY"" section states there has been ""a shift towards organ preserving techniques for patients with low volume disease of favorable histopathology (stages Tis, Ta, T1 and grades 1, 2)."" It explicitly lists the same four common approaches: circumcision, tumor-only excision, Mohs surgery, and glansectomy. The guideline also reinforces the need for strict patient monitoring, stating, ""Close follow-up for at least 5 years is required to detect and re-treat any potential recurrences."""	"**Stance:** R (Recommended)

**Justification:** The guideline strongly supports an organ-preserving approach for early-stage penile cancer, which aligns with the treatment recommendation. Specifically, it recommends organ- and function-preserving treatment for superficial, non-invasive tumors (PeIN, Ta) in Section 7.1.1. For tumors confined to the foreskin, circumcision is recommended (Section 7.1.2, Recommendation 7.11). Furthermore, for invasive tumors limited to the glans (T1/T2), the guideline explicitly suggests local excision and glansectomy as treatment options (Section 7.1.3)."	"**Stance:** R (Recommended)

**Justification:** The guideline strongly supports the recommendation to use organ-sparing surgery for early-stage penile cancer. In its recommendations table on page 25, it gives a ""Strong"" rating to offering ""organ-sparing surgery and reconstructive techniques to patients with lesions confined to the glans and prepuce (PeIN, Ta, T1–T2) and who are willing to comply with strict follow-up."" The guideline specifically discusses circumcision, wide local excision, and glansectomy as options for these stages. While it notes that Mohs surgery is ""not routinely recommended"" due to very limited data (p. 21), the overall principle and the other listed surgical options align directly with the treatment recommendation."	"**Stance:** R (Recommended)

**Justification:** The guideline aligns with the recommendation by advocating for organ-sparing and penile-preserving surgery for localized disease. It specifically recommends circumcision for premalignant disease (PeIN), wide local excision for Ta-T1 disease, and glansectomy for T2 tumors on the glans penis. Additionally, it mentions Mohs micrographic surgery as a potential option for low-grade T1 lesions, covering all procedures and stages mentioned in the recommendation."	"DR (Different Recommendation)
The NCCN guideline recommends organ-sparing surgery options, including wide local excision, glansectomy, and Mohs surgery, for early-stage penile cancer, specifically PeIN, Ta, and T1a disease (PN-A, PN-2). However, the guideline differs from the recommendation for T2 disease. For T2 or greater lesions, the guideline's primary treatment pathway indicates more extensive surgery, such as partial or total penectomy, is typically required (PN-2, MS-8). Since the recommendation includes T2 lesions as being eligible for these organ-sparing approaches, it proposes a less aggressive treatment for this stage than the guideline advises."
**Primary Treatment (Surgical)**	**Intra-operative frozen section analysis of resection margins should be performed** to confirm negative margins, especially in cases of doubt.	EAU-ASCO2025; NCCN2025	"R (Recommended)
The guideline supports the use of intraoperative frozen section analysis to ensure negative margins during surgical excision. It explicitly states that ""In experienced hands tumor excision with negative intraoperative frozen section margins can be performed safely in well selected patients."" The document also compares Mohs surgery to negative intraoperative frozen section margins, treating it as a standard technique for achieving oncologic control."	"R (Recommended)
The guideline supports the use of intraoperative frozen section analysis to ensure negative resection margins. Section 4.4.6 explicitly states that the goal of surgery is complete tumor removal with negative margins and that these margins ""can be secured intraoperatively by pathohistological frozen section analysis [101]."" This directly aligns with the treatment recommendation to perform intra-operative frozen section analysis to confirm negative margins."	"R (Recommended)
The guideline recommends performing intra-operative frozen section analysis in cases of doubt, which aligns with the treatment recommendation. Specifically, in the recommendations table on page 25, the guideline states to ""Perform intra-operative frozen section analysis of resection margins in cases of doubt on the completeness of resection."" Section 6.1.2.2 further clarifies that while routine use is not recommended due to conflicting evidence, the Panel's opinion is that it is a ""helpful tool to achieve definitive tumour-free margins."""	"NA (Not Addressed)

The guideline recommends the use of intra-operative frozen section analysis, but only in the context of inguinal lymph node management. Specifically, it mentions using frozen section analysis during a superficial modified inguinal lymphadenectomy to decide whether to proceed to a radical dissection. The recommendation, however, suggests using frozen sections to confirm negative resection margins of the primary tumor, a topic which is not addressed in the guideline."	"**Stance:** R (Recommended)

**Justification:** The NCCN guideline explicitly supports the use of intra-operative frozen sections to ensure negative surgical margins. Under the ""Principles of Surgery"" for penectomy, the guideline states, ""Intraoperative frozen sections are recommended to determine negative margins"" (PN-B). Similarly, for glansectomy, it specifies that ""Negative surgical margins should be determined from frozen sections of the cavernosal bed and urethral stump"" (PN-A, 2 of 2), directly aligning with the proposed recommendation."
**Primary Treatment (Surgical)**	**Circumcision can be a curative treatment for tumors confined to the prepuce (PeIN/Tis, Ta).**	AUA2020; DGU2020; ESMO2024; NCCN2025	"**R (Recommended)**

**Justification:**
The guideline explicitly supports the recommendation. In the ""SURGERY"" section, it states that ""Foreskin circumcision... can be curative for low grade and low stage disease."" The treatment algorithm in Figure 4 also lists circumcision as a primary treatment option for de novo, uncircumcised lesions located on the foreskin (distal prepuce). This directly aligns with the recommendation for using circumcision as a curative treatment for tumors confined to the prepuce."	"**R (Recommended)**

**Justification:** The guideline directly supports the recommendation. Section 7.1.2, Recommendation 7.11, explicitly states that tumors confined to the foreskin should be treated by circumcision. The background information for this recommendation further confirms that circumcision is considered a curative (""kurativ"") treatment for these tumors, provided tumor-free margins are achieved."	"**R (Recommended)**

The guideline recommends circumcision as a primary treatment option for superficial non-invasive disease (PeIN, Ta) located on the prepuce. Section 6.1.1 states, ""Most PeIN lesions are located on the mucosal surfaces of the glans or prepuce... Thus, circumcision should be the primary surgical option."" Section 6.1.2.5 further supports this, noting that for small, distal preputial penile cancer, ""circumcision alone usually presents adequate treatment."" This aligns directly with the provided treatment recommendation."	"R (Recommended)
The guideline supports the recommendation. Under the ""Ta-1 disease"" section, it explicitly states, ""Patients with tumour localised to the foreskin can undergo a circumcision, which is often therapeutic."" Additionally, for premalignant disease (PeIN) located on the prepuce, the guideline notes that ""circumcision is mandatory as the initial management."" This directly aligns with the recommendation that circumcision can be a curative treatment for these early-stage tumors confined to the prepuce."	"R (Recommended)
The guideline supports the treatment recommendation. In the ""Principles of Penile Organ-Sparing Approaches"" section (PN-A, 2 of 2), under ""Wide Local Excision,"" the guideline explicitly states, ""Circumcision alone may be reasonable for tumors of the distal prepuce."" This aligns directly with the recommendation for using circumcision as a treatment for early-stage tumors (PeIN, Ta) confined to the prepuce. The NCCN Recommendations section (MS-8) further lists ""circumcision and wide local excision"" among the penis-preserving techniques for PeIN or Ta disease."
**Primary Treatment (Surgical)**	When using radiotherapy or topical therapy for a preputial lesion, a circumcision should be performed first.	DGU2020; NCCN2025	"NA (Not Addressed)

The guideline identifies foreskin circumcision as a primary and often curative treatment for preputial disease in uncircumcised men. The treatment algorithm for a lesion on the foreskin lists circumcision and topical therapy as alternative options. However, the guideline does not explicitly address the recommendation to perform a circumcision as a mandatory preparatory step *before* initiating topical or radiation therapy for a preputial lesion."	"**Stance:** R (Recommended)

**Justification:**
The guideline directly supports the treatment recommendation. In section 7.1.3, recommendation 7.13 explicitly states, ""Bei Behandlung mittels Strahlentherapie oder topischer Therapie sollte eine Zirkumzision durchgeführt werden"" (When treating with radiotherapy or topical therapy, a circumcision should be performed). The background information on page 52 further clarifies that the non-diseased foreskin should be removed as it facilitates the healing process. This aligns perfectly with the proposed recommendation."	"**Stance:** R (Recommended)

**Justification:** The guideline aligns with the treatment recommendation. It states that for superficial non-invasive disease (PeIN) on the prepuce, ""circumcision should be the primary surgical option"" (p. 19). Furthermore, it explicitly notes that ""circumcision combined with topical treatment, laser therapy or brachytherapy, facilitates follow-up examinations"" (p. 22), reinforcing the role of circumcision in this context. A systematic review cited by the panel also found that patients undergoing brachytherapy had it performed ""after circumcision"" (p. 23)."	"**R (Recommended)**

The guideline aligns with the recommendation. For premalignant disease (PeIN) on the prepuce, the guideline states that ""circumcision is mandatory as the initial management"" before subsequent treatment with topical agents. Similarly, when discussing radiotherapy, it specifies that ""In all cases, a circumcision should be carried out before brachytherapy."""	"**Stance:** DR (Different Recommendation)

**Justification:** The guideline recommends that circumcision should be performed before radiotherapy to prevent radiation-related complications. However, the guideline does not state that circumcision is a prerequisite for topical therapy. By specifying this requirement for only one of the two modalities, the guideline presents a different, more nuanced recommendation than the one provided, which applies the prerequisite to both treatments."
**Primary Treatment (Surgical)**	**Wide local excision (WLE) is an option for early-stage tumors (PeIN, Ta, T1).** Complete excision with wide negative margins is required.	DGU2020; ESMO2024; NCCN2025	"**Stance:** R (Recommended)

**Justification:** The guideline strongly supports this recommendation, stating that ""R0 surgical excision of the penile tumor"" is considered the ""gold standard of treatment"" for early-stage disease (Tis, Ta, T1). The document explicitly lists ""tumor-only excision"" as one of the four commonly used surgical approaches for these patients. The guideline also reinforces the importance of achieving negative margins to ensure complete removal of the tumor."	"**R (Recommended)**

**Justification:** The guideline recommends local excision (""Lokalexzision"") as a treatment option for early-stage penile cancer. Specifically, recommendation 7.14 on page 52 states that for smaller, invasive tumors of the glans (T1/T2), a local excision should be performed. The accompanying background text emphasizes that this is a reasonable organ-preserving approach and that negative surgical margins (""Negative Schnittränder"") are required, which directly aligns with the proposed treatment recommendation."	"**R (Recommended)**

**Justification:**
The guideline explicitly supports the use of wide local excision (WLE) for early-stage penile cancer. Section 6.1.2 identifies WLE as a surgical option for invasive disease confined to the glans (cT1/T2). Furthermore, the recommendations table on page 25 gives a ""Strong"" rating for offering organ-sparing surgery, including wide local excision, for patients with PeIN, Ta, and T1–T2 lesions. The guideline also aligns with the need for complete removal, stating in section 6.1.2.5 that WLE should include a ""margin of clinically normal-appearing skin around the tumour."""	"R (Recommended)
The guideline supports the use of wide local excision (WLE) for early-stage penile cancer, aligning with the recommendation. For premalignant disease (PeIN), the guideline suggests WLE if topical treatments fail (p. 4). For Ta-1 disease, it is explicitly listed as a recommended treatment option (p. 9). The management algorithm in Figure 2 further illustrates WLE as a viable surgical approach for Tis, Ta, and T1 tumors (p. 4)."	"**R (Recommended)**

**Justification:**
The NCCN guidelines recommend wide local excision as a primary treatment option for patients with Penile Intraepithelial Neoplasia (PeIN) or Ta disease (PN-1). The guidelines also list wide local excision as a treatment for pathologic stage pT1a and pT1b tumors (PN-2). Furthermore, the ""Principles of Penile Organ-Sparing Approaches"" section explicitly states this procedure is designated for early-stage penile cancer (PeIN, Ta, T1) and requires complete excision with a wide negative margin (PN-A)."
**Primary Treatment (Surgical)**	**Mohs micrographic surgery can be considered as an alternative to WLE for select, low-grade, superficial lesions,** particularly on the glans or distal penis, if the appropriate expertise is available.	AUA2020; ESMO2024; NCCN2025	"R (Recommended)
The guideline supports the recommendation by listing Mohs surgery as one of the four commonly used surgical approaches for early-stage penile cancer. It explicitly states that ""Mohs surgery can be considered for disease of favorable histopathology and when the affected area is within the distal penis or glans penis,"" which directly corresponds to the recommendation for its use in select, low-grade, superficial lesions in those specific locations. The treatment algorithm (Figure 4) further includes Mohs surgery as an option for de novo and recurrent lesions."	"NA (Not Addressed)

**Justification:**
The guideline provides a comprehensive overview of surgical treatments for primary penile cancer, including local excision, laser therapy, glansectomy, and partial amputation (p. 51). However, it does not mention or discuss Mohs micrographic surgery as a specific therapeutic option. Although ""Mohs-Chirurgie"" is mentioned once in the document, it is only in the context of summarizing the scope of a cited systematic review (p. 55), not as part of a formal recommendation or discussion. Therefore, the guideline does not address the recommendation to use Mohs surgery for select lesions."	"DR (Different Recommendation)
The guideline explicitly states that Mohs micrographic surgery is not routinely recommended due to very limited data. This differs from the treatment recommendation, which suggests it ""can be considered as an alternative"" for select lesions. While both mention the importance of appropriate expertise, the guideline's explicit statement against routine use (Section 6.1.2.4) represents a more cautious and disapproving stance compared to the recommendation's conditional consideration."	"R (Recommended)
The guideline supports the use of Mohs micrographic surgery for low-grade penile lesions (T1), which aligns with the recommendation for select, low-grade, superficial lesions. The guideline echoes the recommendation's condition regarding expertise, stating it should only be performed if ""the right clinical set-up, including a pathologist, is available."" While the guideline notes a high recurrence rate (32%), it is still presented as a valid therapeutic option for Ta-1 disease."	"**R (Recommended)**

**Justification:** The NCCN guideline aligns with the recommendation by listing Mohs surgery as a primary treatment option for early-stage penile cancer (PeIN, Ta, and pT1a) in its treatment algorithms (PN-1, PN-2). Under the ""Principles of Penile Organ-Sparing Approaches"" (PN-A, 2 of 2), it explicitly states that ""Mohs surgery is an alternative to wide local excision in select cases."" The guideline further specifies that it may be preferable for ""a small superficial lesion,"" which is consistent with the recommendation's conditions."
