cache_tokens_details=None cached_content_token_count=None candidates_token_count=2320 candidates_tokens_details=None prompt_token_count=87852 prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=71598), ModalityTokenCount(modality=<MediaModality.DOCUMENT: 'DOCUMENT'>, token_count=16254)] thoughts_token_count=3016 tool_use_prompt_token_count=None tool_use_prompt_tokens_details=None total_token_count=93188 traffic_type=None


**Comprehensive Extraction of EAU-ASCO Penile Cancer Guidelines Recommendations**

My analysis of the EAU-ASCO Penile Cancer Guidelines is complete. I've meticulously extracted all explicit treatment recommendations, focusing on both the recommendation tables and the embedded text within the "Disease Management" and "Follow-up and Quality of Life" sections. I've organized the information according to the specified categories and requirements. The resulting table is presented below:

| Aspect of Care                      | Recommendation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| **Primary Tumour Treatment**      | *   *General Principle:* Offer a balanced and individualised discussion on benefits and harms of available treatments, and inform patients of the higher risk of local recurrence when using organ-sparing treatments.  <br> *   *PeIN:* Offer topical therapy with 5-fluorouracil or imiquimod to biopsy-confirmed PeIN. If topical treatment fails, *it should not be repeated*.  <br> *   *PeIN, Ta, T1:* Offer laser ablation (CO2 or Nd:YAG) to biopsy-confirmed PeIN, Ta, or T1 lesions.  <br> *   *PeIN, Ta, T1-T2:* Offer organ-sparing surgery and reconstructive techniques to patients with lesions confined to the glans and prepuce who are willing to comply with strict follow-up.   <br> *   *T1 or T2:* Offer radiotherapy to selected patients.  <br> *   *T3, or not willing for organ-sparing:* Offer partial penectomy, or total penectomy for large invasive tumours not amenable to partial amputation. <br> *   *Recurrence, not involving corpora cavernosa:* Offer salvage organ-sparing surgery. <br> *   *Large local recurrence or corpora cavernosa involvement:* Offer amputative surgery. <br> *   *Non-resectable advanced or locally advanced-disease patients refusing surgical management:* Offer induction chemotherapy or chemo-radiotherapy.  <br> *   Perform intra-operative frozen section analysis of resection margins in cases of doubt on the completeness of resection.                                                                                                                                                                                                                                                             |
| **Lymph Node Management**          | *   *cN0, high risk (T1b or higher):* Offer surgical LN staging to all patients with high risk of micro-metastatic disease.   <br> *   *cN0, T1a G2:* Discuss surveillance as an alternative to surgery.  <br> *   *cN0:* When surgical staging is indicated, offer dynamic sentinel node biopsy (DSNB). If DSNB is not available, offer inguinal lymph node dissection (ILND).   <br> *   *cN0, DSNB planned:* Perform inguinal US first, with fine needle aspiration cytology (FNAC).  <br> *   *cN+, any stage:* Perform a physical examination of both groins; If there is a palpable/suspicious node, obtain (image-guided) biopsy to confirm nodal metastasis.  <br> *   *cN+:* In cN+ patients, stage the pelvis and exclude distant metastases with 18FDG-PET/CT or CT of the chest and abdomen.   <br> *   *cN1:* Offer either ipsilateral fascial-sparing inguinal lymph node dissection (ILND) OR open radical ILND; sparing the saphenous vein, if possible.   <br> *   *cN2:* Offer ipsilateral open radical ILND; sparing the saphenous vein, if possible.   <br> *   *cN1–2:* Offer minimally-invasive ILND only as part of a clinical trial.   <br> *   *pPLND (pN1-3):* Offer open or minimally-invasive prophylactic ipsilateral pelvic lymphadenectomy if three or more inguinal nodes are involved on one side on pathological examination or extranodal extension is reported. <br> *   *cN3 ( Extensive or Pelvic Based on the EAU-ASCO Collaborative Guidelines on Penile Cancer, the explicit treatment recommendations are extracted and categorized below.

| Aspect of Care | Recommendation |
| :--- | :--- |
| **Diagnosis & Staging** | **Primary Tumour Biopsy:** Obtain a pre-treatment biopsy of the primary lesion when malignancy is not clinically obvious, or when non-surgical treatment (e.g., topical agents, laser, radiotherapy) is planned. |
| **Diagnosis & Staging** | **Primary Tumour Imaging:** Perform magnetic resonance imaging (MRI) of the penis/primary tumour (artificial erection not mandatory) when there is uncertainty regarding corporal invasion (T3) and/or the feasibility of organ-sparing surgery. If MRI is not available, offer ultrasound (US) as an alternative. |
| **Diagnosis & Staging** | **Lymph Node Physical Exam:** Perform a physical examination of both groins. Record the number, laterality, and characteristics of any palpable/suspicious inguinal nodes. |
| **Diagnosis & Staging** | **Lymph Node Staging (Clinically Node-Negative, cN0):** <br> • **High-Risk (T1b or higher):** Offer surgical lymph node (LN) staging. <br> • **Intermediate-Risk (T1a G2):** Discuss surveillance as an alternative to surgical staging with patients who are willing to comply with strict follow-up. |
| **Diagnosis & Staging** | **Surgical Staging Method (cN0):** <br> • **Primary Option:** Offer dynamic sentinel node biopsy (DSNB). <br> • **Alternative:** If DSNB is not available, referral is not feasible, or if preferred by the patient after being well informed, offer inguinal lymph node dissection (ILND) (open or video-endoscopic). <br> • **Pre-DSNB:** If DSNB is planned, perform inguinal US first, with fine needle aspiration cytology (FNAC) of sonographically abnormal LNs. |
| **Diagnosis & Staging** | **Lymph Node Staging (Clinically Node-Positive, cN+):** <br> • **Biopsy:** If there is a palpable/suspicious node at physical examination (cN+), obtain an (image-guided) biopsy to confirm nodal metastasis before initiating treatment. <br> • **Systemic Staging:** In cN+ patients, stage the pelvis and exclude distant metastases with ¹⁸F-fluoro-2-deoxy-D-glucose positron emission tomography (¹⁸FDG-PET) computed tomography (CT) or CT of the chest and abdomen before initiating treatment. |
| **Primary Tumour Treatment** | **Shared Decision Making:** Offer a balanced and individualised discussion on the benefits and harms of possible treatment options with the goal of shared decision making. Inform patients of the higher risk of local recurrence when using organ-sparing treatments compared to amputative surgery. |
| **Primary Tumour Treatment** | **Topical Therapy (Superficial Disease):** <br> • **Treatment:** Offer topical therapy with 5-fluorouracil or imiquimod to patients with biopsy-confirmed penile intra-epithelial neoplasia (PeIN). <br> • **Follow-up:** Clinically assess treatment effects after a treatment-free interval and, in cases of doubt, perform a biopsy. If topical treatment fails, it should not be repeated. |
| **Primary Tumour Treatment** | **Laser Ablation (Superficial/Early Invasive):** Offer laser ablation using CO₂ or Nd:YAG laser to patients with biopsy-confirmed PeIN, Ta, or T1 lesions. |
| **Primary Tumour Treatment** | **Organ-Sparing Surgery (Superficial/Early Invasive):** <br> • **Indication:** Offer organ-sparing surgery (circumcision, wide local excision, glansectomy, glans resurfacing) and reconstructive techniques to patients with lesions confined to the glans and prepuce (PeIN, Ta, T1–T2) who are willing to comply with strict follow-up. <br> • **Intra-operative Assessment:** Perform intra-operative frozen section analysis of resection margins in cases of doubt on the completeness of resection. |
| **Primary Tumour Treatment** | **Organ-Sparing Salvage Surgery:** Offer salvage organ-sparing surgery to patients with small local recurrences that do not involve the corpora cavernosa. |
| **Primary Tumour Treatment** | **Radiotherapy (Early Invasive):** Offer radiotherapy to selected patients with biopsy-confirmed T1 or T2 lesions. |
| **Primary Tumour Treatment** | **Amputative Surgery (Locally Advanced):** <br> • **Partial Penectomy:** Offer partial penectomy (with or without reconstruction) to patients with invasion of the corpora cavernosa (T3) and those not willing to undergo or comply with follow-up for organ-sparing surgery. <br> • **Total Penectomy:** Offer total penectomy with perineal urethrostomy to patients with large invasive tumours not amenable to partial amputation. |
| **Primary Tumour Treatment** | **Amputative Surgery for Recurrence:** Offer amputative surgery to patients with large local recurrences or involvement of the corpora cavernosa. |
| **Primary Tumour Treatment** | **Multimodal Therapy (Advanced/Unresectable):** Offer induction chemotherapy followed by surgery to responders, or chemo-radiotherapy, to patients with non-resectable advanced primary lesions, or to patients with locally advanced disease who refuse surgical management. |
| **Lymph Node Management** | **Inguinal Dissection (cN1 Disease):** For patients with cN1 disease (palpable mobile unilateral inguinal node), offer either ipsilateral fascial-sparing inguinal lymph node dissection (ILND) OR open radical ILND, sparing the saphenous vein if possible. |
| **Lymph Node Management** | **Inguinal Dissection (cN2 Disease):** For patients with cN2 disease (palpable mobile multiple or bilateral inguinal nodes), offer ipsilateral open radical ILND, sparing the saphenous vein if possible. |
| **Lymph Node Management** | **Minimally-Invasive ILND (cN1-cN2):** Offer minimally-invasive ILND to patients with cN1–2 disease only as part of a clinical trial. |
| **Lymph Node Management** | **Surgical Timing (cN1-cN2):** Complete surgical inguinal and pelvic nodal management within three months of diagnosis (unless the patient has undergone prior neoadjuvant chemotherapy). |
| **Lymph Node Management** | **Prophylactic Pelvic Lymphadenectomy (pPLND):** Offer open or minimally-invasive prophylactic ipsilateral pelvic lymphadenectomy if: <br> • Three or more inguinal nodes are involved on one side on pathological examination, OR <br> • Extranodal extension is reported on pathological examination. |
| **Lymph Node Management** | **Surgery after Chemotherapy (cN3 Disease):** <br> • **For Responders:** Offer surgery to patients responding to neoadjuvant chemotherapy (NAC) in whom resection is feasible. <br> • **For Non-Progressed:** Offer surgery to patients who have not progressed during NAC, but resection is feasible. |
| **Lymph Node Management** | **Contraindication (cN3 Disease):** Do not offer video endoscopic inguinal lymphadenectomy for cN3 disease (fixed inguinal mass or pelvic lymphadenopathy). |
| **Systemic Therapy** | **Neoadjuvant Chemotherapy (N-staged):** <br> • **cN3 Disease:** Offer neoadjuvant chemotherapy (NAC) using a cisplatin- and taxane-based combination to chemotherapy-fit patients with pelvic LN involvement or extensive inguinal involvement (cN3), in preference to up-front surgery. <br> • **cN2 Disease:** Offer chemotherapy as an alternative to upfront surgery for selected patients with bulky mobile inguinal nodes or bilateral disease (cN2) who are candidates for cisplatin and taxane-based chemotherapy. |
| **Systemic Therapy** | **Adjuvant Chemotherapy (pN3 Disease):** Have a balanced discussion of risks and benefits of adjuvant chemotherapy with high-risk patients with surgically resected disease, in particular, with those with pathological pelvic LN involvement (pN3). |
| **Systemic Therapy** | **Adjuvant Radiotherapy (pN2/N3 Disease):** Offer adjuvant radiotherapy (with or without chemo sensitisation) to patients with pN2/N3 disease, including those who received prior neoadjuvant chemotherapy. |
| **Systemic Therapy** | **Definitive Radiotherapy (Surgery Refused/Contraindicated):** Offer definitive radiotherapy (with or without chemo sensitisation) to patients who are unwilling or unable to undergo surgery. |
| **Systemic Therapy** | **Radiotherapy (cN3, Chemo Ineligible):** Offer radiotherapy (with or without chemo sensitisation) to cN3 patients who are not candidates for multi-agent chemotherapy. |
| **Advanced & Palliative Care** | **First-Line Systemic Therapy:** Offer patients with distant metastatic disease platinum-based chemotherapy as the preferred approach to first-line palliative systemic therapy. |
| **Advanced & Palliative Care** | **Contraindicated Chemotherapy Agent:** Do not offer bleomycin because of the pulmonary toxicity risk. |
| **Advanced & Palliative Care** | **Progressive Disease:** Offer patients with progressive disease under platinum chemotherapy the opportunity to enroll in clinical trials, including experimental therapies within phase I or basket trials. |
| **Advanced & Palliative Care** | **Palliative Radiotherapy:** Offer radiotherapy for symptom control (palliation) in advanced disease. |
| **Follow-up & Survivorship** | **Multidisciplinary Care:** Deliver penile cancer care as part of an extended multi-disciplinary team comprising specialists in urology, nursing, pathology, radiology, oncology, lymphoedema therapy, psychology, and more. |
| **Follow-up & Survivorship** | **Follow-up Schedule:** Follow-up men after penile cancer treatment, initially three-monthly for two years, then less frequently, to assess for recurrent disease and offer patient support. At discharge, recommend self-examination with easy access back to the clinic as local recurrence can occur late. |
| **Follow-up & Survivorship** | **Psychosocial Support:** Discuss the psychological impact of penile cancer and its treatments with the patient and offer psychological support and counselling services. |
| **Follow-up & Survivorship** | **Functional Impact Discussion:** Discuss the negative impact of treatments for the primary tumour on penile appearance, sensation, urinary, and sexual function so that the patient is better prepared for the challenges they may face. |
| **Follow-up & Survivorship** | **Lymphoedema Management:** Discuss the potential impact of lymphoedema as a consequence of inguinal and pelvic lymph node treatment. Assess patients for it at follow-up and refer to lymphoedema therapists early. |
