gemini-2.5-pro
# Task:
    
You are given a list of treatment recommendations for penile cancer. Your task is to identify and remove duplicates — that is, recommendations that convey the same clinical advice or intent, even if worded differently.
However, do not merge or group recommendations that represent distinct treatments, approaches, or clinical decisions, even if they appear under a shared heading or are closely related.

If multiple options are listed under a broader category (e.g., organ-sparing surgery), treat each bullet or treatment modality as a potentially distinct recommendation unless two entries are clearly semantically equivalent.

When removing duplicates, always retain the most comprehensive, specific, or medically precise version. But do not combine multiple unique recommendations into a single, summarized entry.

When in doubt, err on the side of treating treatments as separate unless they are clearly interchangeable.


When duplicates are merged, list all the sources that provided this unified recommendation in the "Sources" column.

If a recommendation is unique (not merged), the "Sources" column should list only the source where it appeared.

If multiple recommendations are merged, the "Sources" column should contain all relevant sources, separated by semicolons.

    
    
    # List of Treatment Recommendations:
    | Source       | Aspect of Care                                                                         | Recommendation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| AUA2020      | **Primary Treatment (Laser Therapy)**                                                  | A surgical margin of **5 mm is considered oncologically safe** for laser therapy.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| AUA2020      | **Primary Treatment (Surgical - Organ Preserving)**                                    | **Circumcision** is indicated and can be curative for **low-grade, low-stage (Tis, Ta) preputial disease** in uncircumcised men. For tumors near the coronal sulcus, the margin must be extended.                                                                                                                                                                                                                                                                                                                                                                                                             |
| AUA2020      | **Primary Treatment (Surgical - Organ Preserving)**                                    | **Mohs micrographic surgery** can be considered for disease with **favorable histopathology** when the lesion is located on the **distal penis or glans.**                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| AUA2020      | **Primary Treatment (Surgical - Organ Preserving)**                                    | **Glansectomy (partial or total) and glans resurfacing** are options for tumors located on the **glans penis.**                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| AUA2020      | **Primary Treatment (Surgical - Aggressive)**                                          | **Partial or total penectomy** are acceptable options for patients with **higher stage tumors, unfavorable histopathology, or recurrent disease,** or for patients who would not be suitable surgical candidates in the event of recurrence.                                                                                                                                                                                                                                                                                                                                                                  |
| AUA2020      | **Treatment of Recurrent Disease**                                                     | For a **recurrent lesion at a new site**, treatment options include topical therapy, laser therapy, surgical excision, Mohs surgery, and glans-specific procedures (glans resurfacing, glansectomy) if applicable.                                                                                                                                                                                                                                                                                                                                                                                            |
| AUA2020      | **Treatment of Recurrent Disease**                                                     | For a **recurrent lesion at the same site**, options include laser therapy and surgical excision. For high-risk recurrent lesions or if follow-up is unreliable, **partial or radical penectomy** is reserved.                                                                                                                                                                                                                                                                                                                                                                                                |
| AUA2020      | **Radiation Therapy**                                                                  | Radiation therapy may be considered for patients with **T1-T2 disease who are unfit for surgery** and are willing to accept the associated late-onset side effects. Surgery remains the preferred approach due to higher success rates.                                                                                                                                                                                                                                                                                                                                                                       |
| AUA2020      | **Lymph Node Management**                                                              | Following circumcision, patients with **moderately or poorly differentiated tumors (grades 2 and 3) will require inguinal node dissection.**                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| AUA2020      | **Follow-up Care**                                                                     | **Close postoperative follow-up is crucial** after all organ-sparing treatments, particularly circumcision.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| AUA2020      | **Follow-up Care**                                                                     | After **laser therapy**, close follow-up is recommended, especially during the **first 6 months** when the majority of local recurrences develop.                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| AUA2020      | **Follow-up Care**                                                                     | Following any penile-preserving technique, **close follow-up for at least 5 years is required** to detect and re-treat potential recurrences.                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| AUA2020      | **Follow-up Care**                                                                     | **Post-laser therapy follow-up schedules** vary by laser type: <br> • **CO2 Laser:** After 2 months, then every 3 months for 3 years, then biannually. <br> • **Nd:YAG Laser:** Every 3 months for 2 years, then biannually.                                                                                                                                                                                                                                                                                                                                                                                  |
| DGU2020      | **Diagnosis & Staging**                                                                | For unclear penile lesions, early histological diagnosis should be obtained.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| DGU2020      |                                                                                        | For primary staging, cross-sectional and hybrid imaging methods should only be used for T3/T4 tumors or in cases of positive lymph node status.                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| DGU2020      |                                                                                        | For superficial, non-invasive penile carcinomas (Carcinoma in situ), a fluorescence-diagnostic technique can be used to better determine the extent of the lesion.                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| DGU2020      | **Treatment of Primary Tumor (General)**                                               | Patients with penile cancer should receive organ-preserving therapy depending on the tumor stage and differentiation grade.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| DGU2020      |                                                                                        | Treatment of superficial and non-invasive penile carcinomas should only be performed after a conclusive histological diagnosis has been established.                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| DGU2020      | **Treatment of Primary Tumor (Non-Invasive/Superficial: PeIN, Tis, Ta, Precancerous)** | For superficial, non-invasive penile carcinomas, an organ- and function-preserving curative treatment should be pursued.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| DGU2020      |                                                                                        | **Topical Therapy:** Therapy with 5-fluorouracil or imiquimod can be used. Patients must be informed about limited efficacy and off-label use. This treatment should not be repeated after failure.                                                                                                                                                                                                                                                                                                                                                                                                           |
| DGU2020      |                                                                                        | **Laser Therapy:** CO2 laser can be used for penile intraepithelial neoplasia (PeIN) and precancerous lesions. Nd:YAG laser with deep coagulation can be used for Ta/T1 tumors.                                                                                                                                                                                                                                                                                                                                                                                                                               |
| DGU2020      |                                                                                        | **Control Biopsy:** After topical medical therapy or laser therapy, a control biopsy must be performed to verify local tumor control.                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| DGU2020      |                                                                                        | **Glansectomy:** Complete surgical de-epithelialization of the glans ("glans resurfacing") can be used for Carcinoma in situ (CIS).                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| DGU2020      | **Treatment of Primary Tumor (Invasive: T1-T4)**                                       | **Tumors confined to prepuce:** Should be treated by circumcision.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| DGU2020      |                                                                                        | **Small T1/T2 tumors of the glans:** Local excision should be performed. The non-diseased prepuce can be preserved.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| DGU2020      |                                                                                        | **T1/T2 tumors:** Glansectomy should be offered, depending on tumor location and extent. If glansectomy is not possible and surgery is desired, a partial penectomy should be performed.                                                                                                                                                                                                                                                                                                                                                                                                                      |
| DGU2020      |                                                                                        | **T1/T2 tumors (Non-surgical):** Local radiotherapy can be performed as an organ-sparing therapy. Patients must be informed that percutaneous radiotherapy has a lower local control rate than surgery. When using radiotherapy or topical therapy, a circumcision should be performed.                                                                                                                                                                                                                                                                                                                       |
| DGU2020      |                                                                                        | **T3 tumors (invasion of corpora cavernosa):** A partial penectomy should be performed. For extensive tumors, a radical penectomy may be necessary. Alternatively, local radiotherapy (preferably brachytherapy) can be performed, though local control is lower than with penectomy.                                                                                                                                                                                                                                                                                                                         |
| DGU2020      |                                                                                        | **T4 tumors:** An extensive surgical resection or local radiotherapy should be performed. Neoadjuvant chemotherapy or radio-chemotherapy should be considered.                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| DGU2020      |                                                                                        | **Surgical Margins:** For organ-sparing surgery, the margin should be at least 1-few millimeters. In case of a positive surgical margin, a re-excision should be performed.                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| DGU2020      | **Treatment of Local Recurrence**                                                      | **After organ-sparing surgery:** Recurrence should be treated according to the same principles as primary tumors.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| DGU2020      |                                                                                        | **After radiotherapy:** Recurrence should be treated with surgical salvage therapy.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| DGU2020      |                                                                                        | **After topical or laser therapy:** Recurrence should be treated with a different treatment modality.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| DGU2020      | **Lymph Node Management (Clinically Negative Nodes, cN0)**                             | **Low-risk (pTa and pT1aG1):** Operative lymph node staging can be omitted in favor of clinical surveillance only.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| DGU2020      |                                                                                        | **Intermediate/High-risk (≥pT1b):** Clinically non-palpable inguinal lymph nodes should be invasively staged via either dynamic sentinel lymph node biopsy (DSNB) or modified inguinal lymphadenectomy.                                                                                                                                                                                                                                                                                                                                                                                                       |
| DGU2020      |                                                                                        | **Intraoperative Management (for cN0):** Frozen section analysis should not be performed on tissue from a modified inguinal lymphadenectomy or DSNB.                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| DGU2020      | **Lymph Node Management (Clinically Positive Nodes, cN1/cN2/cN3)**                     | **Palpable nodes (cN1/cN2):** Palpably enlarged inguinal lymph nodes should be histologically confirmed by operative removal. If metastasis is proven, a radical inguinal lymphadenectomy should be performed.                                                                                                                                                                                                                                                                                                                                                                                                |
| DGU2020      |                                                                                        | **Fixed nodes (cN3) with good performance status (ECOG < 2):** Neoadjuvant chemotherapy should be administered.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| DGU2020      |                                                                                        | **Primarily resectable fixed nodes:** Neoadjuvant chemotherapy should be offered to reduce tumor burden and postoperative morbidity.                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| DGU2020      |                                                                                        | **Intraoperative Management (for cN+):** If intraoperatively suspicious nodes are removed, frozen section analysis should be performed. If positive, an ipsilateral radical lymphadenectomy should be performed in the same session.                                                                                                                                                                                                                                                                                                                                                                          |
| DGU2020      |                                                                                        | **Pelvic Lymphadenectomy:** Ipsilateral pelvic lymph node dissection should be performed in patients with ≥2 involved inguinal lymph nodes or with extracapsular extension in at least one lymph node.                                                                                                                                                                                                                                                                                                                                                                                                        |
| DGU2020      | **Systemic Therapy (Adjuvant)**                                                        | **pN1:** Adjuvant chemotherapy can be considered for patients with an aggressive tumor (≥ G2) and/or a large metastasis (≥ 3 cm).                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| DGU2020      |                                                                                        | **pN2/pN3:** Adjuvant chemotherapy can be administered.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| DGU2020      |                                                                                        | **Adjuvant Regimens:** The recommended regimen is 4 cycles of Cisplatin/Paclitaxel/5-Fluorouracil. Alternatively, 4 cycles of Cisplatin/Ifosfamide/Paclitaxel can be used.                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| DGU2020      | **Systemic Therapy (Neoadjuvant)**                                                     | **Regimens:** Recommended polychemotherapy regimens are Paclitaxel/Ifosfamide/Cisplatin (TIP) or Cisplatin/Paclitaxel/5-Fluorouracil (TPF).                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| DGU2020      |                                                                                        | **Consolidation:** If neoadjuvant chemotherapy leads to a response, surgery should be performed after a maximum of 4 cycles.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| DGU2020      | **Management of Metastatic Disease**                                                   | **General Principle:** Patients with metastatic disease or requiring multimodal therapy should be discussed in an interdisciplinary tumor board.                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| DGU2020      |                                                                                        | **First-Line Chemotherapy:** In patients with good performance status (ECOG < 2), combination chemotherapy should be administered. It should be cisplatin-based if comorbidities allow. The recommended regimen is Cisplatin/Ifosfamide/Paclitaxel. Alternatively, Cisplatin/5-Fluorouracil can be used. Bleomycin-containing regimens should not be used.                                                                                                                                                                                                                                                    |
| DGU2020      |                                                                                        | **Second-Line Chemotherapy:** Paclitaxel can be used as monotherapy.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| DGU2020      | **Management of Recurrent/Progressive Disease**                                        | **Regional lymph node recurrence after surveillance:** Should be treated according to the same principles as primary lymph node metastases.                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| DGU2020      |                                                                                        | **Regional lymph node recurrence after radical lymphadenectomy:** Should be treated with neoadjuvant chemotherapy and surgery after histological confirmation.                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| DGU2020      |                                                                                        | **Regional lymph node recurrence after false-negative staging:** Should be histologically confirmed and treated with surgery, plus neoadjuvant or adjuvant therapy.                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| DGU2020      | **Adjuvant & Palliative Radiotherapy**                                                 | Adjuvant radiotherapy after lymph node dissection cannot be generally recommended but can be considered for patients at high risk of recurrence (e.g., high number of metastases, extracapsular extension).                                                                                                                                                                                                                                                                                                                                                                                                   |
| DGU2020      | **Supportive & Palliative Care**                                                       | For chronic lymphedema, a complex decongestive therapy (lymphatic drainage, compression therapy, and skin care) should be performed.                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| DGU2020      | **Follow-up Care**                                                                     | **General:** Regular, risk-stratified follow-up should be performed to detect recurrences and functional disorders. Patients should be taught self-examination for early detection.                                                                                                                                                                                                                                                                                                                                                                                                                           |
| DGU2020      |                                                                                        | **Follow-up for Primary Tumor (Clinical Exam):** For organ preservation, every 3 months for years 1-2, then every 6 months for years 3-5. For total penectomy, every 3 months for years 1-2, then annually for years 3-5.                                                                                                                                                                                                                                                                                                                                                                                     |
| DGU2020      |                                                                                        | **Follow-up for Inguinal Lymph Nodes (Clinical Exam +/- Imaging):** For pNx or pN1, every 3 months for years 1-2, then every 6 months for years 3-5 (optional imaging for pN1). For pN0, every 3 months for years 1-2, then annually for years 3-5.                                                                                                                                                                                                                                                                                                                                                           |
| EAU-ASCO2025 | **Diagnosis & Staging**                                                                | **Primary Tumour Biopsy:** Obtain a pre-treatment biopsy of the primary lesion when malignancy is not clinically obvious, or when non-surgical treatment (e.g., topical agents, laser, radiotherapy) is planned.                                                                                                                                                                                                                                                                                                                                                                                              |
| EAU-ASCO2025 | **Diagnosis & Staging**                                                                | **Primary Tumour Imaging:** Perform magnetic resonance imaging (MRI) of the penis/primary tumour (artificial erection not mandatory) when there is uncertainty regarding corporal invasion (T3) and/or the feasibility of organ-sparing surgery. If MRI is not available, offer ultrasound (US) as an alternative.                                                                                                                                                                                                                                                                                            |
| EAU-ASCO2025 | **Diagnosis & Staging**                                                                | **Lymph Node Physical Exam:** Perform a physical examination of both groins. Record the number, laterality, and characteristics of any palpable/suspicious inguinal nodes.                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| EAU-ASCO2025 | **Diagnosis & Staging**                                                                | **Lymph Node Staging (Clinically Node-Negative, cN0):** <br> • **High-Risk (T1b or higher):** Offer surgical lymph node (LN) staging. <br> • **Intermediate-Risk (T1a G2):** Discuss surveillance as an alternative to surgical staging with patients who are willing to comply with strict follow-up.                                                                                                                                                                                                                                                                                                        |
| EAU-ASCO2025 | **Diagnosis & Staging**                                                                | **Surgical Staging Method (cN0):** <br> • **Primary Option:** Offer dynamic sentinel node biopsy (DSNB). <br> • **Alternative:** If DSNB is not available, referral is not feasible, or if preferred by the patient after being well informed, offer inguinal lymph node dissection (ILND) (open or video-endoscopic). <br> • **Pre-DSNB:** If DSNB is planned, perform inguinal US first, with fine needle aspiration cytology (FNAC) of sonographically abnormal LNs.                                                                                                                                       |
| EAU-ASCO2025 | **Diagnosis & Staging**                                                                | **Lymph Node Staging (Clinically Node-Positive, cN+):** <br> • **Biopsy:** If there is a palpable/suspicious node at physical examination (cN+), obtain an (image-guided) biopsy to confirm nodal metastasis before initiating treatment. <br> • **Systemic Staging:** In cN+ patients, stage the pelvis and exclude distant metastases with ¹⁸F-fluoro-2-deoxy-D-glucose positron emission tomography (¹⁸FDG-PET) computed tomography (CT) or CT of the chest and abdomen before initiating treatment.                                                                                                       |
| EAU-ASCO2025 | **Primary Tumour Treatment**                                                           | **Shared Decision Making:** Offer a balanced and individualised discussion on the benefits and harms of possible treatment options with the goal of shared decision making. Inform patients of the higher risk of local recurrence when using organ-sparing treatments compared to amputative surgery.                                                                                                                                                                                                                                                                                                        |
| EAU-ASCO2025 | **Primary Tumour Treatment**                                                           | **Topical Therapy (Superficial Disease):** <br> • **Treatment:** Offer topical therapy with 5-fluorouracil or imiquimod to patients with biopsy-confirmed penile intra-epithelial neoplasia (PeIN). <br> • **Follow-up:** Clinically assess treatment effects after a treatment-free interval and, in cases of doubt, perform a biopsy. If topical treatment fails, it should not be repeated.                                                                                                                                                                                                                |
| EAU-ASCO2025 | **Primary Tumour Treatment**                                                           | **Laser Ablation (Superficial/Early Invasive):** Offer laser ablation using CO₂ or Nd:YAG laser to patients with biopsy-confirmed PeIN, Ta, or T1 lesions.                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| EAU-ASCO2025 | **Primary Tumour Treatment**                                                           | **Organ-Sparing Surgery (Superficial/Early Invasive):** <br> • **Indication:** Offer organ-sparing surgery (circumcision, wide local excision, glansectomy, glans resurfacing) and reconstructive techniques to patients with lesions confined to the glans and prepuce (PeIN, Ta, T1–T2) who are willing to comply with strict follow-up. <br> • **Intra-operative Assessment:** Perform intra-operative frozen section analysis of resection margins in cases of doubt on the completeness of resection.                                                                                                    |
| EAU-ASCO2025 | **Primary Tumour Treatment**                                                           | **Organ-Sparing Salvage Surgery:** Offer salvage organ-sparing surgery to patients with small local recurrences that do not involve the corpora cavernosa.                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| EAU-ASCO2025 | **Primary Tumour Treatment**                                                           | **Radiotherapy (Early Invasive):** Offer radiotherapy to selected patients with biopsy-confirmed T1 or T2 lesions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| EAU-ASCO2025 | **Primary Tumour Treatment**                                                           | **Amputative Surgery (Locally Advanced):** <br> • **Partial Penectomy:** Offer partial penectomy (with or without reconstruction) to patients with invasion of the corpora cavernosa (T3) and those not willing to undergo or comply with follow-up for organ-sparing surgery. <br> • **Total Penectomy:** Offer total penectomy with perineal urethrostomy to patients with large invasive tumours not amenable to partial amputation.                                                                                                                                                                       |
| EAU-ASCO2025 | **Primary Tumour Treatment**                                                           | **Amputative Surgery for Recurrence:** Offer amputative surgery to patients with large local recurrences or involvement of the corpora cavernosa.                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| EAU-ASCO2025 | **Primary Tumour Treatment**                                                           | **Multimodal Therapy (Advanced/Unresectable):** Offer induction chemotherapy followed by surgery to responders, or chemo-radiotherapy, to patients with non-resectable advanced primary lesions, or to patients with locally advanced disease who refuse surgical management.                                                                                                                                                                                                                                                                                                                                 |
| EAU-ASCO2025 | **Lymph Node Management**                                                              | **Inguinal Dissection (cN1 Disease):** For patients with cN1 disease (palpable mobile unilateral inguinal node), offer either ipsilateral fascial-sparing inguinal lymph node dissection (ILND) OR open radical ILND, sparing the saphenous vein if possible.                                                                                                                                                                                                                                                                                                                                                 |
| EAU-ASCO2025 | **Lymph Node Management**                                                              | **Inguinal Dissection (cN2 Disease):** For patients with cN2 disease (palpable mobile multiple or bilateral inguinal nodes), offer ipsilateral open radical ILND, sparing the saphenous vein if possible.                                                                                                                                                                                                                                                                                                                                                                                                     |
| EAU-ASCO2025 | **Lymph Node Management**                                                              | **Minimally-Invasive ILND (cN1-cN2):** Offer minimally-invasive ILND to patients with cN1–2 disease only as part of a clinical trial.                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| EAU-ASCO2025 | **Lymph Node Management**                                                              | **Surgical Timing (cN1-cN2):** Complete surgical inguinal and pelvic nodal management within three months of diagnosis (unless the patient has undergone prior neoadjuvant chemotherapy).                                                                                                                                                                                                                                                                                                                                                                                                                     |
| EAU-ASCO2025 | **Lymph Node Management**                                                              | **Prophylactic Pelvic Lymphadenectomy (pPLND):** Offer open or minimally-invasive prophylactic ipsilateral pelvic lymphadenectomy if: <br> • Three or more inguinal nodes are involved on one side on pathological examination, OR <br> • Extranodal extension is reported on pathological examination.                                                                                                                                                                                                                                                                                                       |
| EAU-ASCO2025 | **Lymph Node Management**                                                              | **Surgery after Chemotherapy (cN3 Disease):** <br> • **For Responders:** Offer surgery to patients responding to neoadjuvant chemotherapy (NAC) in whom resection is feasible. <br> • **For Non-Progressed:** Offer surgery to patients who have not progressed during NAC, but resection is feasible.                                                                                                                                                                                                                                                                                                        |
| EAU-ASCO2025 | **Lymph Node Management**                                                              | **Contraindication (cN3 Disease):** Do not offer video endoscopic inguinal lymphadenectomy for cN3 disease (fixed inguinal mass or pelvic lymphadenopathy).                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| EAU-ASCO2025 | **Systemic Therapy**                                                                   | **Neoadjuvant Chemotherapy (N-staged):** <br> • **cN3 Disease:** Offer neoadjuvant chemotherapy (NAC) using a cisplatin- and taxane-based combination to chemotherapy-fit patients with pelvic LN involvement or extensive inguinal involvement (cN3), in preference to up-front surgery. <br> • **cN2 Disease:** Offer chemotherapy as an alternative to upfront surgery for selected patients with bulky mobile inguinal nodes or bilateral disease (cN2) who are candidates for cisplatin and taxane-based chemotherapy.                                                                                   |
| EAU-ASCO2025 | **Systemic Therapy**                                                                   | **Adjuvant Chemotherapy (pN3 Disease):** Have a balanced discussion of risks and benefits of adjuvant chemotherapy with high-risk patients with surgically resected disease, in particular, with those with pathological pelvic LN involvement (pN3).                                                                                                                                                                                                                                                                                                                                                         |
| EAU-ASCO2025 | **Systemic Therapy**                                                                   | **Adjuvant Radiotherapy (pN2/N3 Disease):** Offer adjuvant radiotherapy (with or without chemo sensitisation) to patients with pN2/N3 disease, including those who received prior neoadjuvant chemotherapy.                                                                                                                                                                                                                                                                                                                                                                                                   |
| EAU-ASCO2025 | **Systemic Therapy**                                                                   | **Definitive Radiotherapy (Surgery Refused/Contraindicated):** Offer definitive radiotherapy (with or without chemo sensitisation) to patients who are unwilling or unable to undergo surgery.                                                                                                                                                                                                                                                                                                                                                                                                                |
| EAU-ASCO2025 | **Systemic Therapy**                                                                   | **Radiotherapy (cN3, Chemo Ineligible):** Offer radiotherapy (with or without chemo sensitisation) to cN3 patients who are not candidates for multi-agent chemotherapy.                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| EAU-ASCO2025 | **Advanced & Palliative Care**                                                         | **First-Line Systemic Therapy:** Offer patients with distant metastatic disease platinum-based chemotherapy as the preferred approach to first-line palliative systemic therapy.                                                                                                                                                                                                                                                                                                                                                                                                                              |
| EAU-ASCO2025 | **Advanced & Palliative Care**                                                         | **Contraindicated Chemotherapy Agent:** Do not offer bleomycin because of the pulmonary toxicity risk.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| EAU-ASCO2025 | **Advanced & Palliative Care**                                                         | **Progressive Disease:** Offer patients with progressive disease under platinum chemotherapy the opportunity to enroll in clinical trials, including experimental therapies within phase I or basket trials.                                                                                                                                                                                                                                                                                                                                                                                                  |
| EAU-ASCO2025 | **Advanced & Palliative Care**                                                         | **Palliative Radiotherapy:** Offer radiotherapy for symptom control (palliation) in advanced disease.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| EAU-ASCO2025 | **Follow-up & Survivorship**                                                           | **Multidisciplinary Care:** Deliver penile cancer care as part of an extended multi-disciplinary team comprising specialists in urology, nursing, pathology, radiology, oncology, lymphoedema therapy, psychology, and more.                                                                                                                                                                                                                                                                                                                                                                                  |
| EAU-ASCO2025 | **Follow-up & Survivorship**                                                           | **Follow-up Schedule:** Follow-up men after penile cancer treatment, initially three-monthly for two years, then less frequently, to assess for recurrent disease and offer patient support. At discharge, recommend self-examination with easy access back to the clinic as local recurrence can occur late.                                                                                                                                                                                                                                                                                                 |
| EAU-ASCO2025 | **Follow-up & Survivorship**                                                           | **Psychosocial Support:** Discuss the psychological impact of penile cancer and its treatments with the patient and offer psychological support and counselling services.                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| EAU-ASCO2025 | **Follow-up & Survivorship**                                                           | **Functional Impact Discussion:** Discuss the negative impact of treatments for the primary tumour on penile appearance, sensation, urinary, and sexual function so that the patient is better prepared for the challenges they may face.                                                                                                                                                                                                                                                                                                                                                                     |
| EAU-ASCO2025 | **Follow-up & Survivorship**                                                           | **Lymphoedema Management:** Discuss the potential impact of lymphoedema as a consequence of inguinal and pelvic lymph node treatment. Assess patients for it at follow-up and refer to lymphoedema therapists early.                                                                                                                                                                                                                                                                                                                                                                                          |
